Time (s),HRR (kW/m²),SEA (m²/kg),MLR (g/s),COY (ppm),CO2Y (%)
0,-0.599445191,-3664.62466,4.99e-05,0.873474,0.003753
1,-0.82105889,0.0,-0.00049625,0.85796,0.003722
2,-0.565282527,0.0,-0.002087917,0.776181,0.00373
3,-0.779743287,0.0,-0.000361917,0.835247,0.003666
4,-1.108364389,0.0,-0.00545425,0.888127,0.003433
5,-1.857439287,-1.411147243,0.033341917,0.86649,0.003156
6,-1.66766073,-0.865428396,0.041992833,0.83448,0.002955
7,-1.796031378,2.182535701,0.002178,0.773121,0.002794
8,-1.503347987,-6.907738742,0.001771667,0.721378,0.002593
9,-1.753897488,0.0,-9.53e-05,0.747616,0.00254
10,-1.268961247,0.0,-0.007762417,0.787616,0.002388
11,-0.878719647,-1.90166672,0.052278167,0.794353,0.002234
12,-0.774051642,-4.550169561,0.065195417,0.756062,0.002029
13,-0.831258431,-17.99404788,0.002587833,0.754071,0.001813
14,-0.729226784,0.0,-0.000457667,0.876994,0.00182
15,-0.368561995,0.0,-0.007124417,0.937801,0.00165
16,-1.612229504,-2.873811301,0.04866325,0.875626,0.00147
17,-1.497535295,-1.281554408,0.061318583,0.861088,0.001343
18,-1.796303613,-160.3829081,0.001087417,1.00912,0.001367
19,-1.4923347,-213.0010663,0.000295083,1.09063,0.001431
20,-1.828913479,-123.7015902,0.00101925,1.03663,0.001373
21,-0.863622553,-191.3523745,0.000750333,0.866694,0.001268
22,-0.835277743,0.0,-0.000655333,0.817769,0.00126
23,-0.706662448,0.0,-0.004042917,0.909576,0.001259
24,-0.846873876,-172.0570725,0.00044475,0.986043,0.001282
25,-0.537000805,8.111715417,0.004276,1.05777,0.001245
26,-0.767436239,0.0,-0.001837833,1.09515,0.001196
27,-0.383096934,0.0,-0.007876417,0.927982,0.001218
28,-0.757761854,-0.880941837,0.037254917,0.826809,0.001252
29,-0.402300096,1.359052631,0.049540333,0.874327,0.001265
30,-0.751619966,18.5728743,0.00355325,0.806263,0.001218
31,-0.773829228,0.0,-0.00514825,0.892788,0.001107
