Hash,Material,Application,ConeDataFile,ExternalFlux,Sampling interval,Orientation,Edge frame,Separation,InitialMass,Thickness,SurfaceArea,IgnitionTime_manual
bcl9113,Polymer,Paneling,bcl9113_25_1.csv,25,2,Horizontal,Yes,25,180.6,37.6,88.4,312
bcl9113,Polymer,Paneling,bcl9113_50_1.csv,50,2,Horizontal,Yes,25,177.0,37.8,88.4,36
bcl9113,Polymer,Paneling,bcl9113_50_2.csv,50,2,Horizontal,Yes,25,183.3,37.6,88.4,52
bcl9113,Polymer,Paneling,bcl9113_50_3.csv,50,2,Horizontal,Yes,25,181.1,37.8,88.4,52
bcl9113,Polymer,Paneling,bcl9113_20_1.csv,20,2,Horizontal,Yes,25,186.7,37.6,88.4,536
bcl9113,Polymer,Paneling,bcl9113_35_1.csv,35,2,Horizontal,Yes,25,186.6,37.6,88.4,81
bcl1999,Mixture,Paneling,bcl1999_50_1.csv,50,2,Horizontal,Yes,25,51.8,15.7,88.4,35
bcl1999,Mixture,Paneling,bcl1999_50_2.csv,50,2,Horizontal,Yes,25,51.8,15.7,88.4,30
bcl1999,Mixture,Paneling,bcl1999_50_3.csv,50,2,Horizontal,Yes,25,52.6,15.7,88.4,31
bcl1999,Mixture,Paneling,bcl1999_25_1.csv,25,2,Horizontal,Yes,25,53.0,15.8,88.4,99
bcl1999,Mixture,Paneling,bcl1999_25_2.csv,25,2,Horizontal,Yes,25,108.8,15.7,88.4,94
bcl1999,Mixture,Paneling,bcl1999_35_1.csv,35,2,Horizontal,Yes,25,216.3,15.7,88.4,335
bcl3466,Mixture,Paneling,bcl3466_50_1.csv,50,2,Horizontal,Yes,25,80.9,3.1,88.4,64
bcl3466,Mixture,Paneling,bcl3466_50_2.csv,50,2,Horizontal,Yes,25,80.0,3.1,88.4,63
bcl3466,Mixture,Paneling,bcl3466_50_3.csv,50,2,Horizontal,Yes,25,79.6,3.1,88.4,64
bcl3466,Mixture,Paneling,bcl3466_25_1.csv,25,2,Horizontal,Yes,25,79.7,3.1,88.4,188
bcl3466,Mixture,Paneling,bcl3466_20_1.csv,20,2,Horizontal,Yes,25,80.2,3.1,88.4,369
bcl3466,Mixture,Paneling,bcl3466_35_1.csv,35,13,Horizontal,Yes,25,80.7,3.2,88.4,114
bcl6308,Mixture,Seat,bcl6308_50_1.csv,50,2,Horizontal,Yes,25,66.1,15.6,88.4,4
bcl6308,Mixture,Seat,bcl6308_50_2.csv,50,2,Horizontal,Yes,25,60.4,14.7,88.4,3
bcl6308,Mixture,Seat,bcl6308_50_3.csv,50,2,Horizontal,Yes,25,76.4,15.6,88.4,1
bcl6308,Mixture,Seat,bcl6308_25_1.csv,25,2,Horizontal,Yes,25,60.2,14.5,88.4,85
bcl6308,Mixture,Seat,bcl6308_20_1.csv,20,2,Horizontal,Yes,25,55.6,15.0,88.4,196
bcl6308,Mixture,Seat,bcl6308_35_1.csv,35,2,Horizontal,Yes,25,56.3,16.0,88.4,41
bcl1886,Polymer,Flooring,bcl1886_25_1.csv,25,2,Horizontal,Yes,25,160.5,18.4,88.4,95
bcl1886,Polymer,Flooring,bcl1886_50_1.csv,50,2,Horizontal,Yes,25,165.8,18.5,88.4,29
bcl1886,Polymer,Flooring,bcl1886_50_2.csv,50,2,Horizontal,Yes,25,160.9,18.5,88.4,27
bcl1886,Polymer,Flooring,bcl1886_50_3.csv,50,2,Horizontal,Yes,25,162.9,18.5,88.4,25
bcl1886,Polymer,Flooring,bcl1886_35_1.csv,35,2,Horizontal,Yes,25,172.9,18.6,88.4,45
bcl1886,Polymer,Flooring,bcl1886_65_1.csv,65,2,Horizontal,Yes,25,173.8,18.6,88.4,20
bcl2270,Polymer,Flooring,bcl2270_25_1.csv,25,2,Horizontal,Yes,25,162.4,19.1,88.4,34
bcl2270,Polymer,Flooring,bcl2270_50_1.csv,50,2,Horizontal,Yes,25,165.5,19.1,88.4,10
bcl2270,Polymer,Flooring,bcl2270_50_2.csv,50,2,Horizontal,Yes,25,167.5,19.1,88.4,12
bcl2270,Polymer,Flooring,bcl2270_50_3.csv,50,2,Horizontal,Yes,25,166.6,19.0,88.4,13
bcl2270,Polymer,Flooring,bcl2270_20_1.csv,20,2,Horizontal,Yes,25,165.4,19.0,88.4,53
bcl2270,Polymer,Flooring,bcl2270_15_1.csv,15,2,Horizontal,Yes,25,165.9,19.1,88.4,154
bcl9076,Mixture,Paneling,bcl9076_50_1.csv,50,2,Horizontal,Yes,25,48.5,2.7,88.4,52
bcl9076,Mixture,Paneling,bcl9076_50_2.csv,50,2,Horizontal,Yes,25,51.6,2.9,88.4,45
bcl9076,Mixture,Paneling,bcl9076_50_3.csv,50,2,Horizontal,Yes,25,52.1,2.9,88.4,52
bcl9076,Mixture,Paneling,bcl9076_25_1.csv,25,2,Horizontal,Yes,25,50.2,2.8,88.4,160
bcl9076,Mixture,Paneling,bcl9076_20_1.csv,20,2,Horizontal,Yes,25,53.4,2.9,88.4,206
bcl9076,Mixture,Paneling,bcl9076_35_1.csv,35,2,Horizontal,Yes,25,52.1,2.9,88.4,93
bcl1582,Polymer,Foil,bcl1582_50_1.csv,50,2,Horizontal,Yes,25,122.4,5.1,88.4,113
bcl1582,Polymer,Foil,bcl1582_50_2.csv,50,2,Horizontal,Yes,25,121.1,5.1,88.4,112
bcl1582,Polymer,Foil,bcl1582_50_3.csv,50,2,Horizontal,Yes,25,122.7,5.1,88.4,110
bcl1582,Polymer,Foil,bcl1582_25_1.csv,25,2,Horizontal,Yes,25,122.2,5.1,88.4,345
bcl1582,Polymer,Foil,bcl1582_20_1.csv,20,2,Horizontal,Yes,25,122.1,5.1,88.4,571
bcl1582,Polymer,Foil,bcl1582_35_1.csv,35,2,Horizontal,Yes,25,122.3,5.1,88.4,184
bcl9801,Mixture,Foil,bcl9801_50_1.csv,50,2,Horizontal,Yes,25,123.4,5.0,88.4,123
bcl9801,Mixture,Foil,bcl9801_50_2.csv,50,2,Horizontal,Yes,25,122.5,5.0,88.4,121
bcl9801,Mixture,Foil,bcl9801_50_3.csv,50,2,Horizontal,Yes,25,123.3,5.0,88.4,130
bcl9801,Mixture,Foil,bcl9801_25_1.csv,25,2,Horizontal,Yes,25,123.2,5.0,88.4,372
bcl9801,Mixture,Foil,bcl9801_20_1.csv,20,2,Horizontal,Yes,25,123.3,5.0,88.4,558
bcl6967,Polymer,Paneling,bcl6967_50_1.csv,50,2,Horizontal,Yes,25,45.2,2.9,88.4,13
bcl6967,Polymer,Paneling,bcl6967_50_2.csv,50,2,Horizontal,Yes,60,45.1,2.9,88.4,209
